,Susceptible,Exposed,Infected,Resistant,Dead
737,478,0,0,89,1025
738,478,0,0,89,1025
739,478,0,0,89,1025
740,478,0,0,89,1025
741,478,0,0,89,1025
742,478,0,0,89,1025
743,478,0,0,89,1025
744,478,0,0,89,1025
745,478,0,0,89,1025
746,478,0,0,89,1025
747,478,0,0,89,1025
748,478,0,0,89,1025
749,478,0,0,89,1025
750,478,0,0,89,1025
751,478,0,0,89,1025
752,478,0,0,89,1025
753,478,0,0,89,1025
754,478,0,0,89,1025
755,478,0,0,89,1025
756,478,0,0,89,1025
757,478,0,0,89,1025
758,478,0,0,89,1025
759,478,0,0,89,1025
760,478,0,0,89,1025
761,478,0,0,89,1025
762,478,0,0,89,1025
763,478,0,0,89,1025
764,478,0,0,89,1025
765,478,0,0,89,1025
766,478,0,0,89,1025
767,478,0,0,89,1025
768,478,0,0,89,1025
769,478,0,0,89,1025
770,478,0,0,89,1025
771,478,0,0,89,1025
772,478,0,0,89,1025
773,478,0,0,89,1025
774,478,0,0,89,1025
775,478,0,0,89,1025
776,478,0,0,89,1025
777,478,0,0,89,1025
778,478,0,0,89,1025
779,478,0,0,89,1025
780,478,0,0,89,1025
781,478,0,0,89,1025
782,478,0,0,89,1025
783,478,0,0,89,1025
784,478,0,0,89,1025
785,478,0,0,89,1025
786,478,0,0,89,1025
787,478,0,0,89,1025
788,478,0,0,89,1025
789,478,0,0,89,1025
790,478,0,0,89,1025
791,478,0,0,89,1025
792,478,0,0,89,1025
793,478,0,0,89,1025
794,478,0,0,89,1025
795,478,0,0,89,1025
796,478,0,0,89,1025
797,478,0,0,89,1025
798,478,0,0,89,1025
799,478,0,0,89,1025
800,478,0,0,89,1025
801,478,0,0,89,1025
802,478,0,0,89,1025
803,478,0,0,89,1025
804,478,0,0,89,1025
805,478,0,0,89,1025
806,478,0,0,89,1025
807,478,0,0,89,1025
808,478,0,0,89,1025
809,478,0,0,89,1025
810,478,0,0,89,1025
811,478,0,0,89,1025
812,478,0,0,89,1025
813,478,0,0,89,1025
814,478,0,0,89,1025
815,478,0,0,89,1025
816,478,0,0,89,1025
817,478,0,0,89,1025
818,478,0,0,89,1025
819,478,0,0,89,1025
820,478,0,0,89,1025
821,478,0,0,89,1025
822,478,0,0,89,1025
823,478,0,0,89,1025
824,478,0,0,89,1025
825,478,0,0,89,1025
826,478,0,0,89,1025
827,478,0,0,89,1025
828,478,0,0,89,1025
829,478,0,0,89,1025
830,478,0,0,89,1025
831,478,0,0,89,1025
832,478,0,0,89,1025
833,478,0,0,89,1025
834,478,0,0,89,1025
835,478,0,0,89,1025
836,478,0,0,89,1025
837,478,0,0,89,1025
838,478,0,0,89,1025
839,478,0,0,89,1025
840,478,0,0,89,1025
841,478,0,0,89,1025
842,478,0,0,89,1025
843,478,0,0,89,1025
844,478,0,0,89,1025
845,478,0,0,89,1025
846,478,0,0,89,1025
847,478,0,0,89,1025
848,478,0,0,89,1025
849,478,0,0,89,1025
850,478,0,0,89,1025
851,478,0,0,89,1025
852,478,0,0,89,1025
853,478,0,0,89,1025
854,478,0,0,89,1025
855,478,0,0,89,1025
856,478,0,0,89,1025
857,478,0,0,89,1025
858,478,0,0,89,1025
859,478,0,0,89,1025
860,478,0,0,89,1025
861,478,0,0,89,1025
862,478,0,0,89,1025
863,478,0,0,89,1025
864,478,0,0,89,1025
865,478,0,0,89,1025
866,478,0,0,89,1025
867,478,0,0,89,1025
868,478,0,0,89,1025
869,478,0,0,89,1025
870,478,0,0,89,1025
871,478,0,0,89,1025
872,478,0,0,89,1025
873,478,0,0,89,1025
874,478,0,0,89,1025
875,478,0,0,89,1025
876,478,0,0,89,1025
877,478,0,0,89,1025
878,478,0,0,89,1025
879,478,0,0,89,1025
880,478,0,0,89,1025
881,478,0,0,89,1025
882,478,0,0,89,1025
883,478,0,0,89,1025
884,478,0,0,89,1025
885,478,0,0,89,1025
886,478,0,0,89,1025
887,478,0,0,89,1025
888,478,0,0,89,1025
889,478,0,0,89,1025
890,478,0,0,89,1025
891,478,0,0,89,1025
892,478,0,0,89,1025
893,478,0,0,89,1025
894,478,0,0,89,1025
895,478,0,0,89,1025
896,478,0,0,89,1025
897,478,0,0,89,1025
898,478,0,0,89,1025
899,478,0,0,89,1025
900,478,0,0,89,1025
901,478,0,0,89,1025
902,478,0,0,89,1025
903,478,0,0,89,1025
904,478,0,0,89,1025
905,478,0,0,89,1025
906,478,0,0,89,1025
907,478,0,0,89,1025
908,478,0,0,89,1025
909,478,0,0,89,1025
910,478,0,0,89,1025
911,478,0,0,89,1025
912,478,0,0,89,1025
913,478,0,0,89,1025
914,478,0,0,89,1025
915,478,0,0,89,1025
916,478,0,0,89,1025
917,478,0,0,89,1025
918,478,0,0,89,1025
919,478,0,0,89,1025
920,478,0,0,89,1025
921,478,0,0,89,1025
922,478,0,0,89,1025
923,478,0,0,89,1025
924,478,0,0,89,1025
925,478,0,0,89,1025
926,478,0,0,89,1025
927,478,0,0,89,1025
928,478,0,0,89,1025
929,478,0,0,89,1025
930,478,0,0,89,1025
931,478,0,0,89,1025
932,478,0,0,89,1025
933,478,0,0,89,1025
934,478,0,0,89,1025
935,478,0,0,89,1025
936,478,0,0,89,1025
937,478,0,0,89,1025
938,478,0,0,89,1025
939,478,0,0,89,1025
940,478,0,0,89,1025
941,478,0,0,89,1025
942,478,0,0,89,1025
943,478,0,0,89,1025
944,478,0,0,89,1025
945,478,0,0,89,1025
946,478,0,0,89,1025
947,478,0,0,89,1025
948,478,0,0,89,1025
949,478,0,0,89,1025
950,478,0,0,89,1025
951,478,0,0,89,1025
952,478,0,0,89,1025
953,478,0,0,89,1025
954,478,0,0,89,1025
955,478,0,0,89,1025
956,478,0,0,89,1025
957,478,0,0,89,1025
958,478,0,0,89,1025
959,478,0,0,89,1025
960,478,0,0,89,1025
961,478,0,0,89,1025
962,478,0,0,89,1025
963,478,0,0,89,1025
964,478,0,0,89,1025
965,478,0,0,89,1025
966,478,0,0,89,1025
967,478,0,0,89,1025
968,478,0,0,89,1025
969,478,0,0,89,1025
970,478,0,0,89,1025
971,478,0,0,89,1025
972,478,0,0,89,1025
973,478,0,0,89,1025
974,478,0,0,89,1025
975,478,0,0,89,1025
976,478,0,0,89,1025
977,478,0,0,89,1025
978,478,0,0,89,1025
979,478,0,0,89,1025
980,478,0,0,89,1025
981,478,0,0,89,1025
982,478,0,0,89,1025
983,478,0,0,89,1025
984,478,0,0,89,1025
985,478,0,0,89,1025
986,478,0,0,89,1025
987,478,0,0,89,1025
988,478,0,0,89,1025
989,478,0,0,89,1025
990,478,0,0,89,1025
991,478,0,0,89,1025
992,478,0,0,89,1025
993,478,0,0,89,1025
994,478,0,0,89,1025
995,478,0,0,89,1025
996,478,0,0,89,1025
997,478,0,0,89,1025
998,478,0,0,89,1025
999,478,0,0,89,1025
1000,478,0,0,89,1025
1001,478,0,0,89,1025
1002,478,0,0,89,1025
1003,478,0,0,89,1025
1004,478,0,0,89,1025
1005,478,0,0,89,1025
1006,478,0,0,89,1025
1007,478,0,0,89,1025
1008,478,0,0,89,1025
1009,478,0,0,89,1025
1010,478,0,0,89,1025
1011,478,0,0,89,1025
1012,478,0,0,89,1025
1013,478,0,0,89,1025
1014,478,0,0,89,1025
1015,478,0,0,89,1025
1016,478,0,0,89,1025
1017,478,0,0,89,1025
1018,478,0,0,89,1025
1019,478,0,0,89,1025
1020,478,0,0,89,1025
1021,478,0,0,89,1025
1022,478,0,0,89,1025
1023,478,0,0,89,1025
1024,478,0,0,89,1025
1025,478,0,0,89,1025
1026,478,0,0,89,1025
1027,478,0,0,89,1025
1028,478,0,0,89,1025
1029,478,0,0,89,1025
1030,478,0,0,89,1025
1031,478,0,0,89,1025
1032,478,0,0,89,1025
1033,478,0,0,89,1025
1034,478,0,0,89,1025
1035,478,0,0,89,1025
1036,478,0,0,89,1025
1037,478,0,0,89,1025
1038,478,0,0,89,1025
1039,478,0,0,89,1025
1040,478,0,0,89,1025
1041,478,0,0,89,1025
1042,478,0,0,89,1025
1043,478,0,0,89,1025
1044,478,0,0,89,1025
1045,478,0,0,89,1025
1046,478,0,0,89,1025
1047,478,0,0,89,1025
1048,478,0,0,89,1025
1049,478,0,0,89,1025
1050,478,0,0,89,1025
1051,478,0,0,89,1025
1052,478,0,0,89,1025
1053,478,0,0,89,1025
1054,478,0,0,89,1025
1055,478,0,0,89,1025
1056,478,0,0,89,1025
1057,478,0,0,89,1025
1058,478,0,0,89,1025
1059,478,0,0,89,1025
1060,478,0,0,89,1025
1061,478,0,0,89,1025
1062,478,0,0,89,1025
1063,478,0,0,89,1025
1064,478,0,0,89,1025
1065,478,0,0,89,1025
1066,478,0,0,89,1025
1067,478,0,0,89,1025
1068,478,0,0,89,1025
1069,478,0,0,89,1025
1070,478,0,0,89,1025
1071,478,0,0,89,1025
1072,478,0,0,89,1025
